Date,Open,High,Low,Close,Adj Close,Volume
2020-02-09,8000.0,8008.0,7960.0,7960.0,7960.0,115523
2020-02-10,7990.0,8020.0,7901.0,7949.0,7949.0,98349
2020-02-11,8110.0,8110.0,8110.0,8110.0,8110.0,127612
2020-02-12,8311.0,8311.0,8311.0,8311.0,8311.0,0
2020-02-13,8411.0,8411.0,8200.0,8346.0,8346.0,212289
2020-02-16,8271.0,8329.0,8186.0,8195.0,8195.0,55763
2020-02-17,8276.0,8329.0,8231.0,8280.0,8280.0,88121
2020-02-18,8200.0,8200.0,7477.0,7600.0,7600.0,797152
2020-02-19,7520.0,7600.0,7453.0,7550.0,7550.0,337596
2020-02-20,7604.0,7604.0,7330.0,7503.0,7503.0,314837
2020-02-23,7250.0,7256.0,7102.0,7130.0,7130.0,115033
2020-02-24,6990.0,7020.0,6766.0,6941.0,6941.0,373673
2020-02-25,6940.0,7014.0,6843.0,6882.0,6882.0,170380
2020-02-26,6800.0,7083.0,6711.0,7010.0,7010.0,248246
2020-02-27,7000.0,7000.0,6718.0,6718.0,6718.0,456545
2020-03-01,6940.0,6968.0,6796.0,6927.0,6927.0,231610
2020-03-03,7070.0,7138.0,6785.0,6898.0,6898.0,284397
2020-03-04,6855.0,6919.0,6727.0,6815.0,6815.0,198511
2020-03-05,6815.0,6825.0,6644.0,6750.0,6750.0,438690
2020-03-08,6480.0,6515.0,6405.0,6460.0,6460.0,370550
2020-03-09,6052.0,6137.0,5687.0,5990.0,5990.0,520044
2020-03-11,5990.0,6235.0,5864.0,5946.0,5946.0,412892
2020-03-12,5493.0,5496.0,5244.0,5408.0,5408.0,706180
2020-03-15,5300.0,5397.0,5101.0,5275.0,5275.0,197892
2020-03-16,4950.0,5513.0,4808.0,5337.0,5337.0,492354
2020-03-17,5380.0,5510.0,5259.0,5510.0,5510.0,425105
2020-03-18,5510.0,5526.0,5016.0,5100.0,5100.0,363690
2020-03-19,5144.0,5357.0,4997.0,5250.0,5250.0,335557
2020-03-22,4988.0,5096.0,4942.0,5070.0,5070.0,132440
2020-03-23,4910.0,5555.0,4908.0,5136.0,5136.0,276766
2020-03-24,5500.0,5676.0,5361.0,5509.0,5509.0,310704
2020-03-25,5640.0,5713.0,5280.0,5593.0,5593.0,304615
2020-03-26,5599.0,5756.0,5473.0,5709.0,5709.0,968380
2020-03-29,5600.0,5748.0,5505.0,5663.0,5663.0,71690
2020-03-30,5700.0,5719.0,5482.0,5519.0,5519.0,401543
2020-03-31,5539.0,5701.0,5321.0,5700.0,5700.0,564658
2020-04-01,5600.0,5644.0,5505.0,5529.0,5529.0,266437
2020-04-02,5747.0,5747.0,5495.0,5651.0,5651.0,556295
2020-04-05,5651.0,5666.0,5551.0,5570.0,5570.0,35490
2020-04-06,5770.0,6005.0,5770.0,6005.0,6005.0,184082
2020-04-07,6167.0,6319.0,6067.0,6203.0,6203.0,284091
2020-04-12,6203.0,6243.0,6100.0,6100.0,6100.0,108452
2020-04-13,6040.0,6117.0,6037.0,6100.0,6100.0,126096
2020-04-16,6460.0,6548.0,6390.0,6470.0,6470.0,426272
2020-04-19,6430.0,6441.0,6353.0,6438.0,6438.0,189906
2020-04-20,6440.0,6446.0,6339.0,6379.0,6379.0,179249
2020-04-21,6366.0,6419.0,6196.0,6200.0,6200.0,158551
2020-04-22,6120.0,6249.0,6082.0,6089.0,6089.0,226593
2020-04-23,6182.0,6490.0,6175.0,6313.0,6313.0,698825
2020-04-26,6450.0,6530.0,6400.0,6515.0,6515.0,139461
2020-04-27,6580.0,6627.0,6511.0,6617.0,6617.0,160781
2020-04-30,6940.0,6945.0,6796.0,6834.0,6834.0,301165
2020-05-03,6450.0,6538.0,6450.0,6489.0,6489.0,121979
2020-05-04,6489.0,6586.0,6388.0,6540.0,6540.0,208299
2020-05-05,6577.0,6800.0,6573.0,6779.0,6779.0,205302
2020-05-06,6713.0,6773.0,6632.0,6663.0,6663.0,148127
2020-05-07,6666.0,6747.0,6641.0,6701.0,6701.0,291089
2020-05-10,6990.0,7050.0,6990.0,7048.0,7048.0,121757
2020-05-11,7034.0,7260.0,7005.0,7100.0,7100.0,205029
2020-05-12,7095.0,7348.0,7052.0,7142.0,7142.0,288816
2020-05-13,7080.0,7775.0,6816.0,7050.0,7050.0,639440
2020-05-14,6980.0,7130.0,6725.0,6800.0,6800.0,438968
2020-05-17,6800.0,6809.0,6728.0,6780.0,6780.0,139743
2020-05-18,6880.0,7018.0,6838.0,7018.0,7018.0,248782
2020-05-19,7075.0,7157.0,6926.0,7142.0,7142.0,148024
2020-05-20,7071.0,7199.0,6995.0,7199.0,7199.0,188037
2020-05-21,7199.0,7226.0,7100.0,7155.0,7155.0,198953
2020-05-24,7084.0,7090.0,7000.0,7086.0,7086.0,110035
2020-05-25,7086.0,7147.0,7040.0,7147.0,7147.0,87426
2020-05-26,7168.0,7294.0,7111.0,7252.0,7252.0,253451
2020-05-27,7305.0,7340.0,7130.0,7209.0,7209.0,659539
2020-05-31,7120.0,7120.0,6901.0,6905.0,6905.0,104219
2020-06-01,6965.0,7058.0,6902.0,7016.0,7016.0,219529
2020-06-02,6930.0,6969.0,6839.0,6966.0,6966.0,160734
2020-06-03,7010.0,7100.0,6906.0,7099.0,7099.0,231410
2020-06-04,7062.0,7156.0,6990.0,7156.0,7156.0,294485
2020-06-08,7427.0,7450.0,7254.0,7331.0,7331.0,323964
2020-06-09,7265.0,7325.0,7233.0,7325.0,7325.0,120109
